file_path,brightness_score,image_width,image_height,resolution_ratio,entropy_score,person_area_ratio,food_area_ratio,text_area_ratio,num_text_boxes,scene_max,scene_topk_avg,object_max,object_topk_avg,gap_max,gap_avg,file_name
data\images_raw\젠틀도넛카페성산_4.jpg,122.2868760757315,560.0,747.0,1.8666666666666667,7.623745441436768,0.0,0.0,0.024397590361445783,4.0,0.26131361722946167,0.223166361451149,0.20391878485679626,0.1986660361289978,0.057394832372665405,0.024500325322151184,젠틀도넛카페성산_4
data\images_raw\젠틀도넛카페성산_5.jpg,112.00971513605442,560.0,420.0,1.4,7.621773719787598,0.0,0.0,0.039047619047619046,2.0,0.25067704916000366,0.22826582193374634,0.20409584045410156,0.1964762955904007,0.0465812087059021,0.03178952634334564,젠틀도넛카페성산_5
data\images_raw\젠틀도넛카페성산_6.jpg,152.97832998661312,560.0,747.0,1.8666666666666667,7.598108291625977,0.03964429145152037,0.0,0.01207926945878753,1.0,0.23498296737670898,0.21655242145061493,0.2117057740688324,0.1922096163034439,0.023277193307876587,0.02434280514717102,젠틀도넛카페성산_6
data\images_raw\젠틀리조트카페_1.jpg,159.30535714285713,560.0,373.0,1.2433333333333334,7.040135383605957,0.0,0.0,0.004595940252776714,1.0,0.26118624210357666,0.25242558121681213,0.19202393293380737,0.18890587985515594,0.06916230916976929,0.06351970136165619,젠틀리조트카페_1
data\images_raw\젠틀리조트카페_2.jpg,161.1984728073535,560.0,373.0,1.2433333333333334,7.767305374145508,0.00038299502106472615,0.0,0.004021447721179625,1.0,0.31648164987564087,0.25684258341789246,0.20311219990253448,0.18779878318309784,0.11336944997310638,0.06904380023479462,젠틀리조트카페_2
data\images_raw\젠틀리조트카페_3.jpg,171.97262543086939,560.0,373.0,1.2433333333333334,7.347621440887451,0.0,0.0,0.006434316353887399,1.0,0.2571448087692261,0.23560279607772827,0.20313259959220886,0.19035367667675018,0.05401220917701721,0.04524911940097809,젠틀리조트카페_3
data\images_raw\젤라떼리아섬_1.jpg,191.47617613310385,560.0,747.0,1.8666666666666667,7.4166364669799805,0.05404953145917001,0.0,0.0,0.0,0.206424742937088,0.18901360034942627,0.2119043469429016,0.19525332748889923,-0.005479604005813599,-0.006239727139472961,젤라떼리아섬_1
data\images_raw\젤라떼리아섬_2.jpg,197.63137596899224,560.0,645.0,1.8666666666666667,6.556339263916016,0.0,0.09076411960132891,0.0,0.0,0.1879708468914032,0.1728559136390686,0.2540590167045593,0.241183802485466,-0.06608816981315613,-0.0683278888463974,젤라떼리아섬_2
data\images_raw\젤라떼리아섬_3.jpg,203.13654439185314,560.0,996.0,1.8666666666666667,6.423198699951172,0.0,0.0,0.018341222030981066,1.0,0.21763525903224945,0.2039780169725418,0.24715079367160797,0.23141491413116455,-0.02951553463935852,-0.02743689715862274,젤라떼리아섬_3
data\images_raw\젤마씨_1.jpg,133.80595663265305,560.0,560.0,1.8666666666666667,6.9475836753845215,0.06720344387755102,0.0,0.0,0.0,0.266728013753891,0.24885757267475128,0.22046267986297607,0.20839901268482208,0.04626533389091492,0.0404585599899292,젤마씨_1
